,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1001,0,9400,61185.0,65302.0,DebtCon,Other,1.0,0.0,2.0,117.17100444,2.0,18.0,35.611943876
4586,0,24000,43948.0,86111.0,HomeImp,Other,24.0,0.0,0.0,258.30359386,0.0,7.0,26.61774876
2491,1,14900,54359.0,78408.0,DebtCon,Self,4.0,3.0,0.0,129.96775559,0.0,24.0,3.0161414514
4001,1,20900,61402.0,88659.0,DebtCon,ProfExe,9.0,3.0,0.0,164.24893233,1.0,63.0,40.921433337
3390,0,18000,105000.0,172500.0,DebtCon,Office,6.0,0.0,0.0,219.16666667,4.0,24.0,
3968,0,20800,107787.0,182140.0,DebtCon,Office,7.0,0.0,0.0,214.33056821,3.0,23.0,41.928469494
2956,0,16200,86021.0,113030.0,DebtCon,Other,20.0,0.0,0.0,284.15976669,0.0,17.0,26.65016531
2631,0,15100,96763.0,114896.0,HomeImp,Office,2.0,0.0,0.0,144.52964999,0.0,21.0,36.371704029
3121,0,16900,88143.0,115365.0,DebtCon,Other,19.0,0.0,0.0,282.06851776,0.0,16.0,24.962851371
2662,0,15200,20005.0,39605.0,DebtCon,Mgr,8.0,0.0,0.0,96.734902994,0.0,10.0,21.74161074
3423,0,18100,57864.0,164069.0,DebtCon,ProfExe,19.0,0.0,0.0,247.54527102,0.0,27.0,21.469271809
1658,0,11800,38825.0,51984.0,DebtCon,Other,,0.0,0.0,82.527794351,0.0,14.0,40.88273326
4619,0,24200,68477.0,91598.0,DebtCon,Other,16.0,0.0,0.0,88.665201262,0.0,17.0,32.523092223
2573,0,15000,59000.0,86420.0,DebtCon,Office,1.5,0.0,0.0,160.3,0.0,25.0,
4806,0,25100,143881.0,243809.0,HomeImp,ProfExe,27.0,0.0,0.0,353.99083647,1.0,18.0,39.87670703
896,1,8900,147801.0,157335.0,HomeImp,Other,4.0,0.0,0.0,85.574865756,4.0,21.0,34.756560384
2781,0,15600,47537.0,66581.0,DebtCon,Other,7.0,0.0,1.0,116.6148587,3.0,48.0,30.372801078
5834,0,50400,43635.0,104114.0,HomeImp,Self,10.0,0.0,0.0,224.4829394,3.0,35.0,40.851444098
3646,0,19100,73217.0,93033.0,DebtCon,Other,1.0,2.0,1.0,113.69456607,2.0,26.0,36.384163815
724,0,8200,76268.0,89166.0,HomeImp,Other,23.0,0.0,0.0,341.8553472,1.0,46.0,29.869576644
3151,1,17000,52663.0,82000.0,,,,,,,,,
2680,0,15300,65298.0,94301.0,DebtCon,Office,1.0,0.0,0.0,150.49986791,4.0,19.0,31.35764214
1172,0,10000,88777.5,112014.0,DebtCon,ProfExe,13.0,0.0,0.0,182.63333333,2.0,18.0,
2103,0,13200,117985.0,138969.0,DebtCon,ProfExe,16.0,,1.0,178.06475237,0.0,33.0,29.954230932
4986,0,26400,153853.0,188760.0,HomeImp,Self,2.0,0.0,0.0,172.57083327,0.0,17.0,43.35819405
4132,0,21600,105654.0,155460.0,DebtCon,Mgr,16.0,0.0,0.0,193.04880318,0.0,25.0,33.600608463
4043,0,21100,,26450.0,DebtCon,ProfExe,6.0,1.0,0.0,112.57824309,0.0,19.0,19.842902485
73,0,3800,,73189.0,,,,,,,,,22.253949156
210,0,5200,67000.0,77000.0,HomeImp,Other,9.0,0.0,1.0,119.7,0.0,25.0,
544,0,7400,75311.0,89905.0,DebtCon,ProfExe,0.0,,,,,,27.201999612
2352,0,14200,71979.0,86443.0,DebtCon,Other,2.0,0.0,0.0,238.26434622,3.0,25.0,32.13676623
5848,0,51000,39609.0,60837.0,DebtCon,Office,5.0,0.0,,178.88867078,0.0,16.0,30.841045005
2526,1,15000,,27500.0,HomeImp,Other,11.0,1.0,1.0,62.3,2.0,3.0,
3507,0,18500,65165.0,90805.0,DebtCon,Office,2.0,0.0,0.0,160.73226514,0.0,25.0,25.372047645
4667,0,24500,62490.0,97467.0,DebtCon,Other,14.0,0.0,0.0,96.972678724,1.0,17.0,34.975655027
4621,0,24200,63229.0,89394.0,DebtCon,Other,15.0,0.0,0.0,84.668791549,0.0,16.0,35.604886706
1990,0,12900,59191.0,72716.0,DebtCon,Other,2.0,0.0,0.0,175.17044098,1.0,17.0,35.558171284
4484,0,23400,97865.0,120172.0,DebtCon,Self,2.0,0.0,0.0,200.57575228,1.0,26.0,36.398728722
3330,0,17700,107395.0,133433.0,DebtCon,ProfExe,6.0,0.0,0.0,96.157561735,0.0,13.0,27.592277381
5933,1,77200,83962.0,215000.0,HomeImp,Self,8.0,1.0,2.0,71.533131923,3.0,14.0,
4835,0,25300,46780.0,62536.0,DebtCon,Office,18.0,0.0,0.0,189.13668831,0.0,22.0,30.746724366
2808,0,15700,40314.0,60640.0,HomeImp,Other,25.0,0.0,0.0,255.52746026,0.0,13.0,22.540680116
3092,0,16800,62557.0,95747.0,DebtCon,Other,0.0,0.0,0.0,188.18900504,1.0,31.0,35.285844744
4646,0,24400,147073.0,182069.0,DebtCon,Other,2.0,0.0,0.0,173.71494662,0.0,35.0,37.81236793
1725,0,12000,94000.0,112125.0,HomeImp,Office,2.0,0.0,0.0,143.03333333,1.0,22.0,
15,1,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,
4662,0,24500,80072.0,107559.0,DebtCon,Other,18.0,0.0,0.0,194.87746019,0.0,12.0,39.210169634
4594,1,24000,136000.0,,DebtCon,ProfExe,3.0,1.0,6.0,303.29428571,1.0,27.0,
5820,1,50000,80286.0,145000.0,DebtCon,Other,12.0,,1.0,178.76659936,0.0,35.0,
1855,0,12400,,69350.0,,,0.0,0.0,0.0,,0.0,0.0,2.3651954133
3238,0,17300,65444.0,91244.0,DebtCon,ProfExe,8.0,0.0,0.0,202.04968272,0.0,19.0,21.573385223
4064,0,21300,63263.0,94180.0,DebtCon,Office,1.0,0.0,0.0,138.34845525,1.0,22.0,35.549295097
1585,0,11500,77143.0,86862.0,DebtCon,ProfExe,8.0,0.0,1.0,164.59640287,1.0,12.0,39.449692717
2410,1,14500,38986.0,49970.0,HomeImp,Other,1.0,8.0,1.0,220.91726199,0.0,17.0,47.914521113
2203,1,13600,70000.0,88000.0,DebtCon,Mgr,16.0,0.0,0.0,,0.0,0.0,
3590,0,18900,91784.0,117626.0,DebtCon,Other,21.0,0.0,0.0,280.1234728,0.0,16.0,25.67302186
3394,0,18000,124000.0,195000.0,HomeImp,ProfExe,13.0,0.0,0.0,202.9,0.0,22.0,
870,0,8800,51740.0,60852.0,DebtCon,Other,23.0,0.0,0.0,277.58958861,3.0,29.0,39.885483806
5524,0,34300,89000.0,137000.0,DebtCon,Other,12.0,0.0,0.0,63.933333333,1.0,36.0,
3149,0,17000,73184.0,96889.0,DebtCon,Mgr,0.0,0.0,0.0,71.953791991,0.0,16.0,28.004398484
224,0,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,109.93390789,1.0,11.0,35.8385427
2798,0,15700,79346.0,93472.0,DebtCon,Mgr,19.0,0.0,0.0,244.47605696,11.0,23.0,33.196412457
4556,0,23800,188250.0,233800.0,DebtCon,ProfExe,2.0,0.0,0.0,307.57275263,1.0,27.0,36.690724403
69,0,3600,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508
4214,0,21900,105787.0,142466.0,HomeImp,ProfExe,8.0,0.0,0.0,145.37717658,0.0,22.0,32.333899345
5291,1,29000,79000.0,,HomeImp,ProfExe,8.0,0.0,1.0,189.7,1.0,33.0,
3234,0,17300,99064.0,156306.0,HomeImp,ProfExe,4.0,0.0,0.0,90.449522446,0.0,16.0,35.750060441
1238,0,10200,102281.0,114277.0,,Office,15.0,0.0,0.0,263.2869775,0.0,16.0,36.827785946
1342,0,10600,46589.0,64559.0,HomeImp,Other,8.0,0.0,0.0,85.230876487,2.0,33.0,40.451392536
5073,0,27000,23160.0,58074.0,DebtCon,Other,36.0,0.0,0.0,275.84323074,1.0,24.0,40.133220412
3248,0,17300,48132.0,78889.0,DebtCon,Mgr,4.0,0.0,0.0,133.16768546,0.0,8.0,28.298227056
2437,0,14600,51613.0,77912.0,DebtCon,Office,0.0,0.0,0.0,182.88257536,0.0,25.0,32.224452406
4767,1,25000,175225.0,211000.0,DebtCon,ProfExe,13.0,1.0,2.0,148.13333333,4.0,53.0,
184,1,5000,40000.0,32480.0,HomeImp,Other,8.0,3.0,2.0,163.36666667,1.0,16.0,
1428,0,10900,22513.0,52355.0,HomeImp,Other,1.0,0.0,0.0,248.58340866,0.0,10.0,39.204625006
980,0,9300,44026.0,70535.0,HomeImp,Office,12.0,3.0,1.0,245.9,2.0,29.0,
102,0,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425
1367,0,10600,58701.0,67967.0,DebtCon,Mgr,10.0,0.0,0.0,116.53228926,1.0,19.0,31.540218257
2688,0,15300,82439.0,99896.0,DebtCon,ProfExe,1.0,0.0,0.0,281.20032907,1.0,21.0,39.408871403
1831,0,12300,27859.0,48393.0,HomeImp,Other,10.0,0.0,0.0,82.760160333,0.0,3.0,34.385367068
5201,0,28100,86778.0,110851.0,DebtCon,Office,9.0,0.0,0.0,398.4023372,0.0,44.0,41.04058878
259,0,5600,53793.0,66379.0,HomeImp,Office,22.0,0.0,0.0,206.09913412,0.0,19.0,18.369540527
2684,0,15300,14695.0,48095.0,DebtCon,ProfExe,1.0,0.0,0.0,301.65766575,0.0,16.0,19.012446366
4490,0,23500,,90205.0,HomeImp,Other,9.0,0.0,0.0,169.01497354,0.0,16.0,38.698735922
782,0,8400,77916.0,93589.0,DebtCon,ProfExe,0.0,,,,,,27.873870625
744,0,8300,51783.0,57839.0,DebtCon,Other,3.0,0.0,0.0,96.176673144,0.0,20.0,36.210351332
5116,1,27400,23939.0,56874.0,DebtCon,Office,3.0,0.0,1.0,197.8,0.0,11.0,
1848,0,12400,137927.0,160566.0,HomeImp,ProfExe,6.0,0.0,1.0,436.75177987,0.0,42.0,29.272556814
2085,0,13100,58039.0,68558.0,HomeImp,Other,29.0,1.0,2.0,184.88001057,1.0,23.0,37.347348766
3994,0,20900,45279.0,73814.0,DebtCon,Office,1.0,0.0,0.0,235.39555279,0.0,12.0,34.571844248
655,1,8000,28000.0,41950.0,DebtCon,Office,2.0,0.0,0.0,103.4,1.0,20.0,
5607,0,37700,37200.0,51389.0,DebtCon,Other,,0.0,0.0,,6.0,0.0,32.774331021
876,1,8800,32169.0,37533.0,DebtCon,Other,3.0,0.0,0.0,74.449294767,3.0,19.0,25.34174093
1110,0,9900,52800.0,66000.0,HomeImp,Other,29.0,1.0,3.0,188.93333333,1.0,24.0,
5677,0,40600,362909.0,466731.0,HomeImp,ProfExe,4.0,0.0,0.0,305.81241924,4.0,14.0,42.930339471
1594,0,11500,,64037.0,HomeImp,Other,,0.0,0.0,354.17458076,0.0,7.0,34.355739238
3280,0,17500,49968.0,68025.0,HomeImp,Office,3.0,0.0,0.0,126.07945262,0.0,18.0,34.10902705
2853,0,15900,102564.0,120724.0,DebtCon,ProfExe,0.0,0.0,0.0,125.83407016,0.0,30.0,37.993775785
633,1,7900,126919.0,166566.0,HomeImp,Mgr,10.0,,,,,,
4750,1,25000,46451.0,89600.0,DebtCon,Office,10.0,1.0,2.0,95.366666667,2.0,15.0,
2190,0,13600,115816.0,212995.0,HomeImp,ProfExe,1.0,0.0,0.0,114.8430305,1.0,14.0,26.3251112
121,1,4500,66517.0,87000.0,DebtCon,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,
5798,0,48800,47476.0,105332.0,HomeImp,Self,9.0,0.0,0.0,194.13891853,3.0,36.0,40.653434674
946,0,9100,,74450.0,,,,,,,,,23.942516508
4642,1,24400,69873.0,101484.0,DebtCon,Other,15.0,0.0,6.0,225.7525542,0.0,29.0,
3339,0,17700,82302.0,111228.0,HomeImp,ProfExe,4.0,0.0,0.0,118.4559036,0.0,25.0,37.160561204
1958,0,12800,73624.0,103213.0,DebtCon,Other,10.0,0.0,0.0,201.65084421,0.0,20.0,19.557272829
1086,0,9800,49298.0,73426.0,HomeImp,Office,9.0,3.0,1.0,242.38901624,1.0,29.0,34.690361253
711,0,8200,,50061.0,HomeImp,Other,10.0,0.0,0.0,296.9016386,1.0,13.0,33.632136517
5077,0,27100,140305.0,237302.0,HomeImp,ProfExe,27.0,0.0,0.0,349.51426763,2.0,18.0,37.420847161
5812,0,50000,,82200.0,HomeImp,Other,,0.0,0.0,342.86666667,0.0,7.0,
5622,0,38200,128081.0,196037.0,DebtCon,Mgr,,0.0,0.0,197.86549208,0.0,24.0,32.567856908
928,1,9000,32539.0,65440.0,HomeImp,Office,5.0,,,,,,42.368944329
5122,0,27500,145774.0,206788.0,HomeImp,ProfExe,4.0,0.0,0.0,191.94101884,0.0,27.0,38.001192233
4344,0,22600,,55376.0,DebtCon,Other,,0.0,1.0,316.09687448,0.0,18.0,38.135866892
602,0,7600,,40341.0,HomeImp,Other,3.0,0.0,0.0,265.02047536,1.0,25.0,43.300105312
4771,1,25000,68000.0,,DebtCon,Other,8.0,,1.0,134.76666667,3.0,33.0,
5350,0,30300,109859.0,153240.0,DebtCon,ProfExe,10.0,0.0,0.0,172.68797976,0.0,17.0,34.549496477
4355,0,22600,34226.0,85424.0,DebtCon,ProfExe,9.0,0.0,0.0,277.8486564,0.0,18.0,38.005683199
3615,0,19000,130291.0,168187.0,DebtCon,Office,3.0,0.0,0.0,140.68934288,0.0,20.0,24.788150207
914,0,9000,41153.0,51841.0,DebtCon,Office,10.0,0.0,0.0,210.28268954,0.0,23.0,32.424293056
925,1,9000,43881.0,56000.0,DebtCon,Other,5.0,0.0,3.0,73.033333333,3.0,28.0,
3214,1,17200,62108.0,,DebtCon,Office,21.0,0.0,0.0,174.39613454,1.0,21.0,34.538925374
804,0,8500,,27873.0,HomeImp,Office,21.0,0.0,0.0,190.06187015,0.0,15.0,38.375406098
317,0,6000,43000.0,57460.0,HomeImp,Other,1.6,1.0,,101.5,,13.0,
1208,0,10000,114643.0,130127.0,DebtCon,Self,5.0,0.0,1.0,160.6678931,0.0,19.0,33.920044393
5608,0,37800,31214.0,58282.0,DebtCon,Other,,0.0,0.0,,7.0,0.0,34.226189581
376,0,6300,69357.0,73726.0,HomeImp,Sales,3.0,2.0,0.0,163.28393319,1.0,22.0,42.407814245
3575,1,18800,73396.0,137076.0,DebtCon,Office,18.0,0.0,1.0,163.59204517,4.0,20.0,40.375372412
5251,0,28500,100145.0,130522.0,DebtCon,Office,10.0,0.0,0.0,137.94286922,0.0,29.0,39.072589176
3546,0,18600,96476.0,119780.0,DebtCon,Office,0.0,,2.0,264.15312468,0.0,29.0,40.805743364
5857,0,51700,183615.0,257077.0,DebtCon,ProfExe,4.0,0.0,0.0,213.75585017,2.0,32.0,38.95331304
4041,0,21100,91479.0,127110.0,DebtCon,Office,25.0,0.0,0.0,279.46823675,3.0,16.0,33.078522222
4238,0,22000,61042.0,96622.0,HomeImp,ProfExe,17.0,0.0,0.0,638.27536109,1.0,23.0,21.457349807
2777,1,15600,74156.0,101136.0,DebtCon,Mgr,11.0,0.0,3.0,107.38846759,0.0,24.0,27.69600093
554,0,7400,56596.0,72861.0,HomeImp,Mgr,3.0,0.0,1.0,141.96214925,0.0,23.0,28.300245637
3347,0,17800,60611.0,89943.0,DebtCon,Office,29.0,0.0,0.0,208.46653704,0.0,21.0,30.813240588
275,1,5700,70000.0,84579.0,DebtCon,Sales,0.1,0.0,0.0,95.9,1.0,17.0,
3001,0,16400,71906.0,86144.0,DebtCon,Office,2.0,0.0,0.0,126.17015231,1.0,20.0,23.698007625
3270,0,17400,102228.0,115898.0,DebtCon,ProfExe,0.0,0.0,0.0,144.19816755,0.0,30.0,35.114150348
3217,0,17200,85977.0,109238.0,HomeImp,ProfExe,3.0,0.0,0.0,115.55751256,1.0,25.0,38.948918735
4362,0,22700,75354.0,106186.0,DebtCon,Other,,0.0,0.0,175.33937624,1.0,24.0,38.256593617
1470,0,11000,131949.0,165096.0,HomeImp,ProfExe,5.0,0.0,0.0,440.42125368,0.0,42.0,26.904766453
1963,1,12800,81030.0,100333.0,DebtCon,Mgr,11.0,0.0,1.0,80.148943035,4.0,29.0,42.319370392
853,0,8700,,32855.0,HomeImp,,,,,,,,35.937902683
1096,0,9800,54861.0,71138.0,HomeImp,Other,4.0,0.0,0.0,258.33461797,2.0,16.0,36.035712866
1080,0,9800,58936.0,78078.0,DebtCon,,19.0,0.0,0.0,152.14012571,0.0,11.0,32.188760518
388,0,6400,70035.0,78635.0,DebtCon,Sales,3.0,0.0,0.0,147.07716353,0.0,31.0,31.206129763
4539,0,23700,138632.0,186585.0,DebtCon,ProfExe,20.0,0.0,0.0,225.89772555,0.0,24.0,42.766829612
218,0,5300,66987.0,65111.0,HomeImp,Sales,4.0,1.0,0.0,175.32870382,1.0,22.0,40.442570389
1361,0,10600,83217.0,101359.0,DebtCon,Mgr,1.0,0.0,0.0,54.746622005,2.0,24.0,40.76038718
4003,0,20900,133213.0,174787.0,,Mgr,26.0,,4.0,332.08282636,1.0,27.0,32.346398825
4144,0,21600,108923.0,142716.0,HomeImp,ProfExe,9.0,0.0,0.0,162.44691401,0.0,23.0,33.41977874
3436,0,18200,50250.0,72000.0,DebtCon,Mgr,10.0,2.0,0.0,75.066666667,3.0,28.0,
5420,0,31800,71553.0,111237.0,HomeImp,Other,6.0,,,114.12378455,10.0,20.0,41.456707983
3155,0,17000,47000.0,112720.0,DebtCon,ProfExe,16.0,0.0,0.0,257.7,0.0,20.0,
1711,1,12000,42000.0,60000.0,DebtCon,Other,4.0,1.0,2.0,145.53333333,0.0,23.0,
4451,0,23100,64601.0,100170.0,DebtCon,Office,2.0,0.0,0.0,156.67537504,0.0,21.0,34.000236065
2661,0,15200,47200.0,74510.0,DebtCon,ProfExe,17.0,0.0,0.0,174.5215618,0.0,23.0,41.863376119
5551,0,35300,83439.0,134691.0,DebtCon,Mgr,30.0,0.0,0.0,355.80603077,0.0,20.0,41.883071254
3826,0,20000,9722.0,173518.0,HomeImp,Mgr,21.0,0.0,0.0,89.211954836,2.0,20.0,31.120877405
3606,0,18900,52640.0,113391.0,DebtCon,ProfExe,16.0,0.0,0.0,257.52379662,0.0,19.0,27.792323705
1442,1,11000,60513.0,110485.0,DebtCon,Mgr,3.0,1.0,1.0,126.77192888,1.0,17.0,40.031393322
3570,0,18800,110098.0,120662.0,DebtCon,Other,0.0,0.0,0.0,122.16982106,1.0,21.0,39.322315408
4354,0,22600,239115.0,264462.0,HomeImp,Self,5.0,0.0,0.0,244.17973039,2.0,50.0,36.700870555
4754,1,25000,110048.0,,DebtCon,Other,1.0,0.0,1.0,126.4,2.0,24.0,
5310,0,29700,100657.0,148653.0,DebtCon,Other,14.0,0.0,0.0,221.92531148,0.0,40.0,42.302907328
5690,0,41100,129281.0,194500.0,DebtCon,Mgr,,1.0,0.0,197.43206905,0.0,25.0,32.514768714
1121,0,9900,47865.0,88105.0,HomeImp,Other,18.0,0.0,0.0,203.02399137,0.0,17.0,34.553305392
2771,0,15600,75701.0,106389.0,DebtCon,ProfExe,0.0,0.0,0.0,278.68039442,2.0,21.0,40.108259064
1892,0,12500,55228.0,66569.0,DebtCon,Mgr,3.0,0.0,0.0,198.81516721,1.0,17.0,27.996872759
968,0,9300,63566.0,70551.0,DebtCon,ProfExe,14.0,0.0,0.0,138.33735213,0.0,19.0,42.48370297
3887,0,20400,173975.0,219297.0,DebtCon,Office,12.0,0.0,0.0,198.55724049,0.0,32.0,40.784899297
2815,0,15800,51281.0,144202.0,DebtCon,Other,1.0,0.0,0.0,285.9978979,4.0,43.0,41.538051097
4266,0,22200,9709.0,33926.0,DebtCon,Other,0.0,0.0,0.0,28.523782719,1.0,3.0,29.599780197
5359,0,30500,113822.0,148478.0,DebtCon,ProfExe,10.0,0.0,0.0,165.78827835,0.0,16.0,31.163207005
1138,0,10000,59828.0,72489.0,DebtCon,,18.0,0.0,0.0,157.24366245,1.0,11.0,31.626821934
815,0,8600,38646.0,54073.0,DebtCon,Other,14.0,0.0,0.0,89.555852767,0.0,11.0,32.530256646
31,1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.63333333,3.0,45.0,
5560,0,36000,204292.0,268436.0,DebtCon,ProfExe,3.0,0.0,0.0,243.29543026,0.0,31.0,30.938977447
2397,0,14400,46551.0,68545.0,DebtCon,Other,7.0,0.0,0.0,118.74648606,3.0,49.0,29.571263376
1259,1,10200,29581.0,39992.0,DebtCon,Self,3.0,0.0,0.0,149.87462567,2.0,26.0,43.197242061
5567,1,36100,233417.0,324987.0,HomeImp,ProfExe,4.0,0.0,0.0,152.24542792,0.0,25.0,21.862938911
1366,0,10600,72022.0,82238.0,DebtCon,Office,5.0,1.0,2.0,181.76894044,3.0,30.0,39.594148271
1894,0,12500,26286.0,36002.0,DebtCon,Other,2.0,,,,,,38.438681858
2342,1,14100,61036.0,84979.0,HomeImp,Mgr,1.0,0.0,0.0,174.5911708,2.0,23.0,50.276214936
1815,1,12300,24552.0,48278.0,DebtCon,Other,0.0,0.0,0.0,171.07510456,0.0,16.0,29.299550944
1383,0,10700,50210.0,64838.0,HomeImp,Other,9.0,0.0,0.0,95.039168276,2.0,34.0,40.396233444
4400,0,22900,,81255.0,DebtCon,Sales,3.0,0.0,0.0,405.86784833,0.0,22.0,23.542129915
4158,0,21700,45640.0,67023.0,DebtCon,Other,25.0,0.0,0.0,293.76207666,1.0,32.0,34.285372575
1093,0,9800,,45197.0,HomeImp,Other,,,,316.5253028,,11.0,29.646665996
4206,0,21900,61468.0,87450.0,DebtCon,Office,5.0,,,166.61081662,,16.0,38.201210401
1440,0,11000,88252.0,112567.0,DebtCon,Other,11.0,0.0,0.0,224.71557646,2.0,15.0,39.526852362
3327,0,17700,60260.0,90196.0,HomeImp,ProfExe,11.0,0.0,1.0,177.85484553,0.0,14.0,29.60717111
2950,0,16200,95465.0,114758.0,DebtCon,Other,7.0,0.0,0.0,298.46443532,2.0,19.0,32.622560102
887,0,8900,75441.0,116950.0,HomeImp,Office,26.0,0.0,0.0,322.73119571,2.0,37.0,33.788523674
4306,1,22400,25585.0,54049.0,,ProfExe,20.0,0.0,0.0,251.35800302,0.0,19.0,25.202706374
3835,0,20100,20153.0,94279.0,DebtCon,Other,21.0,0.0,0.0,227.18251723,2.0,40.0,36.696630096
5018,0,26600,140561.0,208775.0,HomeImp,ProfExe,5.0,0.0,0.0,197.52410245,1.0,27.0,36.878389116
2817,0,15800,61073.0,90897.0,DebtCon,ProfExe,8.0,0.0,0.0,208.50075586,0.0,20.0,23.035745844
5660,1,40000,147224.0,225000.0,DebtCon,Self,2.0,0.0,4.0,158.2,3.0,28.0,
1607,1,11600,45917.0,60000.0,DebtCon,Other,10.0,0.0,1.0,304.36666667,3.0,27.0,
5718,0,42200,,55578.0,DebtCon,Other,,6.0,,115.87818912,,20.0,28.238412307
1811,0,12200,86775.0,111572.0,DebtCon,ProfExe,0.0,1.0,1.0,138.61008049,1.0,33.0,34.351808356
1180,1,10000,75000.0,103600.0,HomeImp,Mgr,17.6,0.0,0.0,171.43333333,0.0,24.0,
1660,0,11800,,51246.0,HomeImp,Other,11.0,0.0,0.0,305.5667157,2.0,13.0,32.500059069
2135,1,13400,131524.0,148356.0,DebtCon,Other,4.0,1.0,0.0,110.74174156,2.0,29.0,48.340234737
5901,0,62500,124491.0,198338.0,DebtCon,ProfExe,10.0,0.0,0.0,324.32073181,1.0,26.0,38.069751444
3670,0,19300,76807.0,103026.0,HomeImp,Mgr,13.0,0.0,0.0,169.24875269,0.0,27.0,34.876358722
2500,1,14900,57557.0,80611.0,DebtCon,Other,12.0,0.0,0.0,103.10650454,0.0,7.0,39.840875348
5097,0,27300,44026.0,71597.0,DebtCon,Other,22.0,,1.0,287.22679628,0.0,30.0,38.486948668
4990,0,26400,220432.0,283978.0,HomeImp,ProfExe,6.0,,5.0,480.35601368,,56.0,33.714239099
3689,0,19400,110745.0,173474.0,DebtCon,Office,6.0,0.0,0.0,217.40670533,4.0,23.0,42.220407153
5592,1,36900,111151.0,155000.0,HomeImp,ProfExe,12.0,0.0,0.0,137.96666667,0.0,40.0,
2306,0,14000,,58407.0,,,8.0,0.0,0.0,107.53333333,0.0,15.0,
2695,1,15300,21383.0,38480.0,HomeImp,Mgr,20.0,0.0,1.0,182.6,4.0,31.0,
4232,0,22000,88898.0,121357.0,HomeImp,Mgr,12.0,0.0,0.0,115.8322132,2.0,24.0,31.108960859
1176,1,10000,19225.53,35500.0,HomeImp,Office,5.0,0.0,2.0,186.0,1.0,10.0,
546,0,7400,,44651.0,HomeImp,Other,2.0,0.0,0.0,271.91816905,0.0,25.0,42.930043097
4606,0,24100,104442.0,161366.0,DebtCon,Mgr,14.0,0.0,0.0,195.64233318,0.0,25.0,34.540809522
3389,0,18000,46865.0,61266.0,DebtCon,,5.0,0.0,0.0,102.59467389,2.0,9.0,26.353753375
3304,0,17600,79122.0,96116.0,DebtCon,Other,1.0,0.0,0.0,152.44371441,1.0,18.0,35.589662601
3677,0,19300,91004.0,116827.0,DebtCon,ProfExe,6.0,0.0,0.0,163.28211809,1.0,20.0,20.206032584
1980,0,12800,29100.0,39264.0,HomeImp,Other,7.0,0.0,0.0,93.395002466,2.0,12.0,31.283061018
